#{"t_start": 1764996608.0869732, "env_id": "None"}
r,l,t
-24.994872,4800,1.744102
-24.974359,4800,3.54995
-21.9,4800,5.328938
-21.9,4800,7.062254
-21.9,4800,9.000478
-21.9,4800,11.119986
-21.9,4800,13.055223
-21.9,4800,14.861008
-21.9,4800,16.658731
-21.9,4800,18.382122
-21.9,4800,20.172178
-21.9,4800,22.020568
-21.9,4800,23.762782
-24.923077,4800,25.61438
-21.9,4800,27.472876
-24.95641,4800,29.187488
-24.907692,4800,31.001207
-21.9,4800,32.825424
-21.9,4800,34.697572
-21.9,4800,36.430562
-21.9,4800,38.277586
-24.907692,4800,40.111293
-21.9,4800,41.830418
-21.9,4800,43.630206
-191.4,4800,45.461125
-21.9,4800,47.200346
-21.9,4800,48.985916
-21.9,4800,50.797871
-21.9,4800,52.56219
-21.9,4800,54.371016
-21.9,4800,56.194266
-21.9,4800,57.892636
-24.933333,4800,59.681744
-21.9,4800,61.495568
-21.9,4800,63.295924
-24.933333,4800,65.01488
-21.9,4800,66.816473
-24.969231,4800,68.65167
-21.9,4800,70.446208
-21.9,4800,72.285019
-24.976923,4800,74.114152
-24.935897,4800,75.846202
-24.941026,4800,77.680528
-21.9,4800,79.53892
-24.994872,4800,81.289955
-21.9,4800,83.125172
-21.9,4800,84.963534
-24.915385,4800,86.707034
-21.9,4800,88.619458
-21.9,4800,90.463962
-21.9,4800,92.303392
-21.9,4800,94.052327
-24.941026,4800,95.898353
-21.9,4800,98.035656
-24.930769,4800,99.876419
-21.9,4800,101.867508
-24.971795,4800,103.710018
-21.9,4800,105.436094
-24.992308,4800,107.250946
-21.9,4800,109.071387
-21.9,4800,110.797312
-21.9,4800,112.614056
