#{"t_start": 1764996953.6515348, "env_id": "None"}
r,l,t
-24.930769,4800,1.857481
-24.987179,4800,3.655049
-25.0,4800,5.466164
-24.979487,4800,7.233328
-24.994872,4800,9.076005
-24.910256,4800,10.897773
-24.958974,4800,12.622431
-24.961538,4800,14.427512
-24.979487,4800,16.229062
-24.997436,4800,17.97033
-24.935897,4800,19.795449
-25.0,4800,21.577508
-24.992308,4800,23.313172
-24.961538,4800,25.138855
-24.969231,4800,27.016411
-25.0,4800,28.747832
-24.951282,4800,30.573808
-24.992308,4800,32.374506
-24.982051,4800,34.250519
-24.989744,4800,35.98762
-21.9,4800,37.811244
-24.994872,4800,39.613917
-24.987179,4800,41.359812
-24.997436,4800,43.181796
-24.992308,4800,45.016735
-24.971795,4800,46.749698
-24.992308,4800,48.66056
-24.966667,4800,50.549285
-24.997436,4800,52.267059
-24.941026,4800,54.072322
-21.9,4800,55.88974
-24.912821,4800,57.615682
-24.95641,4800,59.411407
-24.920513,4800,61.255206
-24.910256,4800,63.058411
-21.9,4800,64.772453
-24.941026,4800,66.583088
-24.974359,4800,68.38926
-24.958974,4800,70.138382
-24.923077,4800,71.93119
-24.994872,4800,73.766206
-24.961538,4800,75.519261
-24.982051,4800,77.388804
-24.987179,4800,79.249733
-24.907692,4800,80.972378
-24.987179,4800,82.811786
-21.9,4800,84.971571
-24.997436,4800,86.951404
-21.9,4800,88.840999
-24.969231,4800,90.669018
-24.966667,4800,92.517732
-24.992308,4800,94.280478
-24.938462,4800,96.123882
-24.984615,4800,97.959389
-24.994872,4800,99.709719
-24.994872,4800,101.536728
-21.9,4800,103.369859
-24.948718,4800,105.112698
-24.907692,4800,106.971817
-24.912821,4800,108.816752
-25.0,4800,110.58975
-24.935897,4800,112.422119
