#{"t_start": 1764686546.8900163, "env_id": "None"}
r,l,t
-7.515789,1200,1.811402
-6.994737,1200,2.959931
-7.0,1200,4.621318
-7.0,1200,6.271328
-7.005263,1200,7.933195
-7.005263,1200,10.322717
-7.0,1200,12.573672
-7.005263,1200,14.640167
-6.994737,1200,16.277367
-7.005263,1200,17.641652
-7.0,1200,19.288728
-6.989474,1200,21.223568
-3.9,1200,22.851117
-3.9,1200,24.482629
-3.921053,1200,26.351284
-3.9,1200,28.063353
-3.9,1200,29.726565
-3.9,1200,31.246303
-3.9,1200,32.688092
-3.9,1200,34.382852
-3.9,1200,36.076234
-3.9,1200,37.753709
-3.9,1200,39.498398
-3.9,1200,41.417063
-3.910526,1200,43.112382
-3.9,1200,44.974045
-3.9,1200,47.127314
-3.9,1200,49.143999
-3.9,1200,51.048156
-3.9,1200,53.189097
-3.9,1200,54.791965
-3.9,1200,56.531659
-3.9,1200,58.211011
-3.9,1200,60.278072
-3.910526,1200,62.739769
-3.910526,1200,64.64539
-3.9,1200,66.915457
-3.9,1200,68.518095
-3.9,1200,70.190801
-3.9,1200,71.981494
-3.9,1200,74.43102
-3.9,1200,77.170388
-3.9,1200,79.733813
-3.9,1200,82.021399
-3.9,1200,83.654282
48.705,879,84.922293
50.83,454,85.809842
50.055,609,86.476355
50.625,495,87.316355
-23.6,1200,88.931079
-47.6,1200,91.009736
-44.8,1200,92.992379
-25.889474,1200,94.97692
51.9,240,95.642836
51.68,284,95.944039
52.195,181,96.134071
51.49,322,96.46707
49.815,657,97.481928
-25.573684,1200,99.146717
-23.294737,1200,100.763901
51.68,284,101.42855
-36.094737,1200,103.05899
51.87,246,103.34409
-43.794737,1200,104.994013
-21.468421,1200,106.450515
49.92,636,107.448764
51.775,265,107.741268
51.375,345,108.401627
51.545,311,108.72834
50.745,471,109.256774
51.75,270,109.849349
50.705,479,110.37666
-25.752632,1200,111.972568
51.98,224,112.212164
52.265,167,112.709972
-41.3,1200,114.292184
-40.589474,1200,115.81568
-9.210526,1200,117.348058
52.585,103,117.460321
51.77,266,117.843487
51.695,281,118.500212
52.15,190,118.707677
52.285,163,118.867955
52.185,183,119.059843
52.165,187,119.298747
-20.457895,1200,121.205678
51.08,404,121.651106
50.83,454,122.114666
52.475,125,122.563236
-6.942105,1200,124.214185
52.525,115,124.342037
49.925,635,124.900829
52.155,189,125.413243
52.635,93,125.509704
47.98,884,126.772397
52.315,157,126.936671
51.515,317,127.252923
52.005,219,127.414743
52.565,107,127.483098
52.185,183,127.929169
52.58,104,128.038914
52.65,90,128.132262
-7.563158,1200,129.761868
51.965,227,130.002915
52.59,102,130.116643
52.635,93,130.210625
52.67,86,130.306635
52.37,146,130.787526
46.905,759,131.584975
50.52,516,132.453099
52.765,67,132.530563
52.08,204,132.769186
52.535,113,132.896938
52.525,115,133.025402
52.6,100,133.121822
52.385,143,133.585693
52.535,113,133.727419
52.235,173,133.953368
52.635,93,134.049558
52.345,151,134.207002
52.265,167,134.414793
52.485,123,134.559384
52.495,121,134.75185
52.76,68,135.118452
52.47,126,135.262652
52.26,168,135.426046
52.65,90,135.519079
52.445,131,135.662768
52.755,69,135.754069
52.335,153,135.902232
52.725,75,135.981409
52.595,101,136.077205
52.71,78,136.455257
52.69,82,136.540981
52.685,83,136.637676
52.79,62,136.701532
52.13,194,136.925288
52.61,98,137.021645
52.7,80,137.102161
51.985,223,137.325025
52.68,84,137.404449
52.61,98,137.515064
52.65,90,137.927881
52.67,86,138.022806
52.44,132,138.149293
52.535,113,138.260029
52.655,89,138.359163
52.58,104,138.459178
52.28,164,138.62398
52.54,112,138.76022
52.59,102,138.861612
52.595,101,139.273682
52.675,85,139.384445
52.75,70,139.46361
52.66,88,139.561774
52.58,104,139.670707
52.7,80,139.780103
52.71,78,139.861984
52.58,104,139.962036
52.705,79,140.049422
52.67,86,140.12858
52.725,75,140.207645
52.54,112,140.334278
52.39,142,140.808779
52.685,83,140.903749
52.71,78,140.983052
52.7,80,141.064674
52.735,73,141.141644
52.665,87,141.220714
52.69,82,141.316162
52.685,83,141.395672
52.725,75,141.474742
52.775,65,141.538033
52.735,73,141.616988
52.745,71,141.680691
52.78,64,142.07739
52.5,120,142.204067
52.76,68,142.282572
52.59,102,142.393379
52.715,77,142.472423
52.795,61,142.535662
52.52,116,142.662193
52.74,72,142.725942
49.955,629,143.74035
52.615,97,143.851337
52.83,54,143.93086
52.775,65,144.010527
52.67,86,144.105378
52.465,127,144.231563
52.765,67,144.295287
52.735,73,144.374495
52.765,67,144.468846
52.825,55,144.531971
52.805,59,144.59526
52.725,75,145.022849
52.655,89,145.117778
52.74,72,145.181112
52.685,83,145.276155
52.725,75,145.339436
52.81,58,145.402009
52.69,82,145.496883
52.705,79,145.576221
52.82,56,145.639521
52.755,69,145.702714
52.735,73,145.781962
52.75,70,145.871241
52.76,68,145.940225
52.715,77,146.034754
52.74,72,146.462847
52.61,98,146.557692
52.725,75,146.636791
52.745,71,146.699897
52.64,92,146.794837
52.76,68,146.873986
52.715,77,146.953131
52.695,81,147.048302
52.71,78,147.127497
52.815,57,147.191035
52.735,73,147.254326
52.54,112,147.380902
52.76,68,147.444276
52.72,76,147.824531
52.8,60,147.903737
52.83,54,147.966861
52.715,77,148.046366
52.75,70,148.125577
52.795,61,148.18928
52.77,66,148.268307
52.775,65,148.331376
52.775,65,148.394556
52.695,81,148.489565
52.77,66,148.55286
52.81,58,148.616062
52.785,63,148.67938
52.71,78,148.758518
52.565,107,148.877406
52.45,130,149.313323
52.69,82,149.408626
52.14,192,149.614576
52.835,53,149.662051
52.735,73,149.74123
52.84,52,149.804614
