#{"t_start": 1764997067.0721388, "env_id": "None"}
r,l,t
-24.992308,4800,1.780743
-24.958974,4800,3.570199
-21.905128,4800,5.343185
-21.9,4800,7.050901
-21.9,4800,8.87397
-21.9,4800,10.67336
-24.941026,4800,12.448556
-21.9,4800,14.25013
-25.0,4800,16.066358
-21.9,4800,17.775042
-24.989744,4800,19.612508
-24.948718,4800,21.421323
-24.974359,4800,23.114628
-21.9,4800,24.913573
-21.9,4800,26.761251
-25.0,4800,28.444515
-24.923077,4800,30.233949
-24.979487,4800,32.064235
-24.938462,4800,33.871035
-24.928205,4800,35.643382
-24.915385,4800,37.499039
-24.979487,4800,39.309429
-24.969231,4800,41.013748
-24.987179,4800,42.873163
-24.974359,4800,44.687173
-25.0,4800,46.417966
-24.94359,4800,48.255265
-25.0,4800,50.030372
-24.958974,4800,52.151202
-25.0,4800,54.187098
-24.982051,4800,56.112135
-21.9,4800,57.826643
-21.9,4800,59.647271
-21.9,4800,61.453415
-24.969231,4800,63.257356
-25.0,4800,64.993736
-24.994872,4800,66.843176
-24.951282,4800,68.628039
-24.992308,4800,70.327727
-24.979487,4800,72.184341
-24.930769,4800,74.026717
-21.9,4800,75.886904
-21.9,4800,77.760414
-21.9,4800,79.536684
-21.9,4800,81.287812
-24.997436,4800,83.095787
-21.9,4800,84.921586
-21.9,4800,86.651096
-24.910256,4800,88.421494
-21.9,4800,90.265153
-21.9,4800,92.112259
-24.953846,4800,93.90664
-21.9,4800,95.734979
-24.987179,4800,97.556916
-21.9,4800,99.301351
-24.95641,4800,101.127489
-21.9,4800,102.969434
-24.992308,4800,104.718533
-21.9,4800,106.576834
-21.9,4800,108.505067
-24.976923,4800,110.477665
-21.9,4800,112.437791
