#{"t_start": 1764102090.7387507, "env_id": "None"}
r,l,t
49.11,798,0.233147
49.11,798,0.552584
49.11,798,0.856441
49.11,798,1.175243
49.11,798,1.404075
49.11,798,1.723511
49.11,798,2.038364
49.11,798,2.339498
49.11,798,2.652972
49.105,799,2.889137
49.11,798,3.200653
49.11,798,3.514937
49.105,799,3.823904
49.11,798,4.044483
49.11,798,4.369511
49.11,798,4.681053
49.1,800,4.983457
49.105,799,5.3021
49.11,798,5.529562
49.11,798,5.851845
49.105,799,6.169687
49.105,799,6.484291
49.1,800,6.722604
49.1,800,7.038059
49.11,798,7.343388
49.1,800,7.669409
49.085,803,7.981299
49.085,803,8.199961
49.08,804,8.538737
49.09,802,8.857131
49.1,800,9.167224
49.09,802,9.387602
49.085,803,9.707255
49.1,800,10.017557
49.095,801,10.345849
49.11,798,10.684568
49.105,799,10.918767
49.1,800,11.242115
49.105,799,11.598657
49.11,798,11.903241
49.1,800,12.220817
49.105,799,12.455608
49.1,800,12.769025
49.095,801,13.075243
49.1,800,13.391481
49.105,799,13.625265
49.1,800,13.947923
49.105,799,14.257433
49.09,802,14.56094
49.105,799,14.88173
49.1,800,15.124321
49.11,798,15.44069
49.065,807,15.754966
49.065,807,16.071675
49.0,820,16.308697
49.015,817,16.622276
49.005,819,16.956773
49.075,805,17.275047
48.965,827,17.599719
49.005,819,17.848634
49.02,816,18.1689
48.96,828,18.490701
48.945,831,18.815387
48.955,829,19.132576
48.985,823,19.360153
48.85,850,19.693816
48.935,833,20.014011
48.99,822,20.324179
48.98,824,20.65959
48.905,839,20.98215
48.865,847,21.229534
48.71,878,21.564275
48.715,877,21.90406
48.735,873,22.237259
48.8,860,22.565685
48.57,906,22.912441
48.615,897,23.247833
48.515,917,23.513717
48.53,914,23.875474
48.585,903,24.226481
48.6,900,24.559271
48.65,890,24.907768
48.815,857,25.243104
48.61,898,25.586871
48.465,927,25.943335
48.465,927,26.295976
48.56,908,26.566008
48.515,917,26.903289
48.46,928,27.24752
48.61,898,27.591259
48.55,910,27.935874
48.57,906,28.291939
48.46,928,28.638585
48.51,918,28.981797
48.775,865,29.242788
48.645,891,29.591738
48.725,875,29.932317
48.74,872,30.268743
48.735,873,30.600342
48.79,862,30.931783
48.815,857,31.257993
48.74,872,31.497522
48.805,859,31.833377
48.83,854,32.153044
48.83,854,32.483553
48.965,827,32.81611
48.94,832,33.122053
48.915,837,33.372492
48.935,833,33.685959
48.915,837,34.016962
48.995,821,34.335517
48.96,828,34.650483
47.33,1154,35.058705
48.95,830,35.370134
48.97,826,35.615158
49.0,820,35.92659
48.995,821,36.243841
48.99,822,36.546984
48.99,822,36.874806
49.025,815,37.112295
49.035,813,37.421566
49.025,815,37.749598
49.04,812,38.06658
49.055,809,38.382572
49.08,804,38.607728
49.055,809,38.930475
49.04,812,39.240853
49.09,802,39.555896
49.075,805,39.789482
49.1,800,40.100178
49.1,800,40.412842
49.09,802,40.726113
49.1,800,41.032658
49.105,799,41.263506
49.095,801,41.592427
49.105,799,41.960863
47.42,1136,42.417192
49.105,799,42.783769
