#{"t_start": 1764996021.9306874, "env_id": "None"}
r,l,t
53.015,17,12.050406
52.995,21,12.064121
51.815,97,12.092596
52.96,28,12.101066
52.995,21,12.10707
52.99,22,12.10907
52.995,21,12.10907
52.99,22,12.127196
53.035,13,12.131208
52.97,26,12.22483
52.985,23,12.230806
53.015,17,12.23583
53.03,14,12.239829
53.0,20,12.24083
53.03,14,12.246985
-4.08,108,12.272565
53.005,19,12.272565
52.99,22,12.288645
52.97,26,12.288645
52.46,48,12.304714
52.94,32,12.320558
52.965,27,12.320558
51.575,85,12.347033
52.93,34,12.35268
53.035,13,12.35268
52.895,41,12.368735
53.035,13,12.368735
52.885,43,12.384855
52.93,34,12.401015
53.0,20,12.401015
52.975,25,12.401015
52.44,52,12.416995
53.025,15,12.433142
52.995,21,12.433142
52.945,31,12.449741
53.045,11,12.452866
51.13,94,12.481207
53.0,20,12.487204
53.015,17,12.490208
-3.28,108,12.605904
53.0,20,12.612905
53.025,15,12.617957
53.005,19,12.622996
52.925,35,12.634358
53.015,17,12.645601
52.945,31,12.655434
52.94,32,12.65644
53.0,20,12.65644
53.035,13,12.67496
52.975,25,12.682985
52.965,27,12.690336
53.02,16,12.695043
52.97,26,12.703068
52.925,35,12.713133
52.99,22,12.719133
52.925,35,12.729508
52.97,26,12.736624
52.94,32,12.740516
53.0,20,12.74775
53.03,14,12.74775
53.015,17,12.76059
52.985,23,12.765589
52.975,25,12.765589
53.015,17,12.765589
52.965,27,12.781495
52.91,38,12.797732
53.005,19,12.797732
52.925,35,12.81406
52.8,60,12.829638
52.945,31,12.845719
53.015,17,12.850451
52.95,30,12.858478
52.795,61,12.874467
52.965,27,12.875451
53.01,18,12.875451
52.975,25,12.89314
52.97,26,12.898629
52.99,22,12.990236
52.97,26,12.997309
53.0,20,13.003311
53.015,17,13.007667
52.99,22,13.013645
52.995,21,13.01997
52.455,89,13.042964
52.95,30,13.04818
52.975,25,13.059946
53.01,18,13.061952
52.985,23,13.061952
52.98,24,13.075035
52.98,24,13.075035
52.96,28,13.094093
53.03,14,13.094093
52.88,44,13.110042
53.02,16,13.110042
52.9,40,13.126146
51.445,51,13.131778
53.035,13,13.14232
52.955,29,13.148278
52.84,52,13.158347
53.03,14,13.158347
52.995,21,13.177062
53.01,18,13.18207
52.99,22,13.188067
53.02,16,13.194104
53.02,16,13.199207
51.99,62,13.216278
53.01,18,13.221267
53.04,12,13.225573
52.95,30,13.234521
