#{"t_start": 1764690324.8879526, "env_id": "None"}
r,l,t
48.11,998,2.188136
48.11,998,2.932402
48.11,998,3.64344
48.11,998,4.325812
48.11,998,4.991823
48.11,998,5.677349
48.105,999,6.34904
48.11,998,7.036626
48.11,998,7.719353
48.11,998,8.41353
48.11,998,9.062226
48.11,998,9.727552
48.11,998,10.398414
48.11,998,11.037161
48.11,998,11.675301
48.11,998,12.422635
48.11,998,13.060962
48.11,998,13.695444
48.11,998,14.35062
48.11,998,14.983493
48.11,998,15.65286
48.105,999,16.325974
48.11,998,17.023633
48.11,998,17.700092
48.11,998,18.398169
48.11,998,19.094608
48.11,998,19.740396
48.11,998,20.393905
48.11,998,21.046581
48.11,998,21.682369
48.11,998,22.342328
48.11,998,22.973444
48.11,998,23.590986
48.11,998,24.255069
48.11,998,24.899782
48.105,999,25.565902
48.1,1000,26.220422
48.11,998,26.937459
48.11,998,27.615068
48.11,998,28.198905
48.11,998,28.909648
48.11,998,29.605428
48.11,998,30.274351
48.065,1007,30.92952
47.855,1049,31.644925
47.915,1037,32.360221
47.855,1049,33.032741
47.78,1064,33.734212
47.73,1074,34.560895
47.805,1059,35.263134
47.88,1044,35.964663
47.85,1050,36.652016
47.885,1043,37.352742
47.855,1049,38.068998
47.79,1062,38.787073
-93.005,29221,57.554762
47.72,1076,58.250118
47.75,1070,58.950497
47.76,1068,59.661814
47.745,1071,60.357955
47.585,1103,61.281627
47.63,1094,62.031567
47.595,1101,62.757545
47.725,1075,63.486882
47.685,1083,64.215396
47.865,1047,64.915302
47.675,1085,65.633534
47.68,1084,66.35197
47.505,1119,67.117777
47.505,1119,67.905697
47.665,1087,68.629112
-28.02,16224,79.595243
41.435,2333,81.158716
44.275,1765,82.384994
46.145,1391,83.294791
46.155,1389,84.340401
46.73,1274,85.131964
46.6,1300,85.972735
46.525,1315,86.846123
46.195,1381,87.827047
45.705,1479,88.66217
46.51,1318,89.583796
46.44,1332,90.36545
47.035,1213,91.086413
47.2,1180,91.803749
47.275,1165,92.505994
47.225,1175,93.325053
47.465,1127,94.010906
47.43,1134,94.716573
47.53,1114,95.456473
47.405,1139,96.167798
47.66,1088,96.888925
47.615,1097,97.606746
47.435,1133,98.396223
47.745,1071,99.118111
47.665,1087,99.849658
47.59,1102,100.515425
47.62,1096,101.183864
47.28,1164,102.038548
47.565,1107,102.75225
47.69,1082,103.405438
47.64,1092,104.069963
47.76,1068,104.767358
47.86,1048,105.41561
47.83,1054,106.127078
47.84,1052,106.80757
47.935,1033,107.48987
47.935,1033,108.199496
47.82,1056,108.892438
47.845,1051,109.578815
47.95,1030,110.228786
47.975,1025,110.878532
47.95,1030,111.538359
48.0,1020,112.194448
48.01,1018,112.827108
48.015,1017,113.525912
48.025,1015,114.176265
48.065,1007,114.811202
48.085,1003,115.471643
48.075,1005,116.09392
48.105,999,116.806595
48.07,1006,117.393291
48.095,1001,117.996111
48.1,1000,118.582609
48.1,1000,119.178436
48.075,1005,119.790979
48.09,1002,120.444837
48.08,1004,121.111753
48.08,1004,121.78188
48.045,1011,122.463941
48.025,1015,123.147308
48.045,1011,123.817214
48.075,1005,124.469534
48.09,1002,125.169909
48.085,1003,125.834606
48.08,1004,126.488363
48.07,1006,127.096026
