#{"t_start": 1764688699.261118, "env_id": "None"}
r,l,t
52.11,198,0.234542
52.11,198,0.431404
52.11,198,0.624207
52.11,198,0.899863
52.11,198,1.151645
52.11,198,1.856341
52.11,198,2.112269
52.11,198,2.321264
52.11,198,2.513409
52.11,198,2.739201
52.11,198,3.237155
52.11,198,3.510757
52.11,198,3.703695
52.11,198,3.928962
52.11,198,4.137742
52.11,198,4.66476
52.11,198,4.887425
52.11,198,5.095598
52.11,198,5.287483
52.11,198,5.479967
52.11,198,5.992611
52.11,198,6.231952
52.11,198,6.439722
52.11,198,6.664767
52.11,198,6.872808
52.11,198,7.384939
52.11,198,7.594083
52.11,198,7.785997
52.11,198,8.010756
52.11,198,8.211265
52.11,198,8.415984
52.11,198,8.912196
52.11,198,9.132417
52.11,198,9.325915
52.11,198,9.581725
52.11,198,9.742076
52.11,198,10.222622
52.11,198,10.494115
52.11,198,10.702576
52.11,198,10.915351
52.11,198,11.146939
52.11,198,11.651602
52.11,198,11.860304
52.11,198,12.068677
52.11,198,12.276897
52.11,198,12.485691
52.11,198,12.968104
52.11,198,13.192582
52.11,198,13.496734
52.105,199,13.895504
52.11,198,14.261367
52.11,198,15.075897
52.11,198,15.299598
52.11,198,15.507242
52.11,198,15.699035
52.11,198,15.90777
52.11,198,16.510933
52.11,198,16.811905
52.11,198,17.081962
52.11,198,17.383357
52.11,198,17.704295
52.11,198,18.006942
52.11,198,18.708485
52.11,198,18.927808
52.11,198,19.032088
52.11,198,19.168718
52.11,198,19.488695
52.11,198,20.177484
52.11,198,20.465429
52.11,198,20.687338
52.11,198,20.94214
52.11,198,21.050182
52.11,198,21.593329
52.11,198,21.784721
52.11,198,22.071445
52.11,198,22.387694
52.11,198,22.622711
52.11,198,23.250336
52.11,198,23.541682
52.11,198,23.792102
52.11,198,24.044826
52.11,198,24.2523
52.11,198,24.860691
52.11,198,25.069813
52.11,198,25.278358
52.11,198,25.501427
52.11,198,25.693562
52.11,198,26.220372
52.11,198,26.413061
52.11,198,26.636123
52.11,198,26.849391
52.105,199,27.050941
52.105,199,27.258364
51.39,342,27.929606
51.205,379,28.312146
50.82,456,29.110037
51.345,351,29.47656
51.36,348,29.875118
50.435,533,30.737225
50.555,509,31.279023
51.2,380,31.997413
51.155,389,32.397203
51.24,372,32.79516
51.575,305,33.387358
51.32,356,33.84881
51.49,322,34.184756
51.335,353,34.891439
51.11,398,35.304486
51.165,387,36.054139
51.145,391,36.45388
51.425,335,36.804177
51.1,400,37.522391
51.66,288,37.825489
51.525,315,38.145012
51.73,274,38.432877
51.555,309,39.073167
51.315,357,39.424809
51.67,286,39.744691
51.615,297,40.368848
51.7,280,40.640048
51.66,288,41.00837
51.675,285,41.588929
51.75,270,41.870379
51.68,284,42.172832
51.82,256,42.444118
51.81,258,43.018101
51.745,271,43.306152
51.775,265,43.577168
51.58,304,43.880865
51.93,234,44.439572
51.795,261,44.743143
51.735,273,45.033427
51.855,249,45.272142
51.905,239,45.815105
51.81,258,46.102573
51.935,233,46.342
51.555,309,46.677392
51.88,244,47.303874
51.85,250,47.61791
51.93,234,47.857981
51.905,239,48.128683
51.91,238,48.750369
51.9,240,48.989967
51.9,240,49.261044
51.87,246,49.51679
51.95,230,50.074271
51.92,236,50.346063
51.81,258,50.633631
51.86,248,50.889792
51.72,276,51.545736
51.95,230,51.785087
51.87,246,52.040545
51.965,227,52.296947
52.005,219,52.537443
51.93,234,53.063673
51.845,251,53.4084
51.915,237,53.653238
51.91,238,53.892308
51.965,227,54.450417
52.005,219,54.688906
51.94,232,54.959456
51.98,224,55.181808
52.01,218,55.436319
51.965,227,55.944108
51.895,241,56.197179
51.925,235,56.467702
51.965,227,56.690198
51.93,234,57.230337
51.99,222,57.486659
51.995,221,57.802851
51.955,229,58.040531
51.945,231,58.27833
52.0,220,58.832639
51.97,226,59.0703
51.97,226,59.292033
51.99,222,59.545677
51.995,221,60.083709
52.005,219,60.306022
51.96,228,60.575437
51.91,238,60.812657
51.99,222,61.039375
52.025,215,61.589427
51.995,221,61.811084
51.945,231,62.048443
51.985,223,62.269804
52.025,215,62.809408
52.08,204,63.030783
52.03,214,63.237409
52.025,215,63.459448
52.055,209,63.697073
52.08,204,64.236861
52.075,205,64.459148
52.035,213,64.696158
52.07,206,64.933973
52.065,207,65.139695
52.085,203,65.668083
52.085,203,65.758816
52.055,209,65.838739
52.05,210,65.918439
52.085,203,65.997175
52.065,207,66.489284
52.095,201,66.711496
52.07,206,66.932681
52.095,201,67.138802
52.055,209,67.344503
52.11,198,67.868738
52.09,202,68.074763
52.085,203,68.265161
52.11,198,68.48801
52.1,200,68.679322
52.085,203,69.201508
52.095,201,69.390975
52.095,201,69.614071
52.09,202,69.835386
52.095,201,70.061988
52.1,200,70.597198
52.105,199,70.803129
52.1,200,71.041072
52.105,199,71.247668
52.11,198,71.454106
52.11,198,71.661097
52.11,198,72.168207
52.1,200,72.373863
52.105,199,72.59653
52.105,199,72.787581
52.105,199,72.993275
52.1,200,73.500498
52.105,199,73.706669
52.11,198,73.912247
52.105,199,74.134073
52.1,200,74.340357
52.09,202,74.848111
52.1,200,75.102461
52.1,200,75.292485
52.095,201,75.499589
52.105,199,75.705926
52.11,198,76.309332
52.105,199,76.610043
52.085,203,76.943223
52.105,199,77.260691
52.095,201,77.466655
52.11,198,77.989445
52.105,199,78.291744
52.105,199,78.608338
52.105,199,78.941934
52.1,200,79.287082
52.095,201,79.909957
52.095,201,80.210746
52.11,198,80.512125
52.1,200,80.837774
52.1,200,81.046905
52.105,199,81.574315
52.11,198,81.875932
52.11,198,82.194292
52.105,199,82.49474
52.105,199,82.811687
52.11,198,83.111937
52.11,198,83.697834
52.105,199,83.898205
52.1,200,84.09898
52.11,198,84.299466
52.105,199,84.507364
52.11,198,85.048544
52.11,198,85.23962
52.1,200,85.480243
52.105,199,85.687722
52.11,198,85.894382
52.11,198,86.45263
52.11,198,86.644923
52.11,198,86.868212
52.1,200,87.058965
52.11,198,87.266475
52.105,199,87.801133
52.095,201,88.002865
52.11,198,88.194051
52.11,198,88.415944
52.105,199,88.654116
52.1,200,89.166077
52.11,198,89.354589
52.105,199,89.594797
52.11,198,89.802396
52.105,199,89.994587
52.105,199,90.536957
52.11,198,90.760209
52.095,201,90.96751
52.11,198,91.174811
52.11,198,91.382644
52.11,198,91.589628
52.11,198,92.098887
52.1,200,92.306686
52.11,198,92.497737
52.11,198,92.719183
52.11,198,92.928381
52.11,198,93.427042
52.11,198,93.644409
52.105,199,93.851326
52.11,198,94.137742
52.11,198,94.32916
52.11,198,94.842074
52.11,198,95.049844
52.11,198,95.274909
52.105,199,95.48179
52.11,198,95.674402
52.11,198,96.218487
52.11,198,96.410367
52.105,199,96.618365
52.095,201,96.841041
52.105,199,97.064752
52.11,198,97.575409
52.11,198,97.800349
52.11,198,98.006119
52.11,198,98.197675
52.11,198,98.404219
52.105,199,98.940425
52.11,198,99.141159
52.11,198,99.343639
52.11,198,99.542075
52.11,198,99.726169
52.11,198,100.301067
52.11,198,100.492299
52.11,198,100.699038
52.11,198,100.969685
52.11,198,101.177299
52.11,198,101.385498
52.11,198,101.879848
52.11,198,102.088181
52.11,198,102.295387
52.11,198,102.503176
52.1,200,102.695031
52.11,198,103.205628
52.11,198,103.412958
52.11,198,103.620772
52.11,198,103.833927
52.11,198,104.003555
52.11,198,104.497105
52.11,198,104.68928
52.11,198,104.896945
52.11,198,105.124226
52.11,198,105.343766
52.11,198,105.860144
52.105,199,106.079642
52.11,198,106.287506
52.11,198,106.564093
52.11,198,106.766034
52.11,198,107.325934
52.11,198,107.511713
52.11,198,107.603523
52.11,198,107.692044
52.11,198,107.777434
52.11,198,108.298819
52.11,198,108.506068
52.11,198,108.712579
52.105,199,108.920294
52.11,198,109.176085
