#{"t_start": 1764686987.0804474, "env_id": "None"}
r,l,t
52.91,38,0.081943
52.91,38,0.1401
52.91,38,0.187724
52.91,38,0.235306
52.91,38,0.266959
52.91,38,0.314506
52.91,38,0.361907
52.91,38,0.409373
52.91,38,0.456927
52.91,38,0.504499
52.91,38,0.552073
52.91,38,0.615812
52.91,38,0.647509
52.91,38,0.701695
52.91,38,0.742471
52.91,38,0.774083
52.91,38,0.821525
52.91,38,0.869128
52.91,38,0.948943
52.91,38,1.012698
52.91,38,1.060529
52.91,38,1.123912
52.91,38,1.21825
52.91,38,1.249933
52.91,38,1.302843
52.91,38,1.313068
52.91,38,1.693619
52.91,38,1.741059
52.91,38,1.788518
52.91,38,1.820065
52.91,38,1.867615
52.91,38,1.904395
52.91,38,1.94666
52.91,38,2.004706
52.91,38,2.042001
52.91,38,2.08953
52.91,38,2.121078
52.91,38,2.1687
52.91,38,2.216214
52.91,38,2.263749
52.91,38,2.306099
52.91,38,2.342898
52.91,38,2.374498
52.91,38,2.421947
52.91,38,2.453546
52.91,38,2.506381
52.91,38,2.548631
52.91,38,2.580254
52.91,38,2.611866
52.91,38,2.643604
52.91,38,2.675179
52.91,38,2.722701
52.91,38,2.754336
52.91,38,3.108184
52.91,38,3.150571
52.91,38,3.182173
52.91,38,3.229814
52.91,38,3.277552
52.91,38,3.340688
52.91,38,3.356872
52.91,38,3.388542
52.91,38,3.420303
52.91,38,3.46795
52.91,38,3.515479
52.91,38,3.547169
52.91,38,3.594658
52.91,38,3.642069
52.91,38,3.689506
52.91,38,3.722119
52.91,38,3.769979
52.91,38,3.809506
52.91,38,3.849283
52.91,38,3.8967
52.91,38,3.928303
52.91,38,3.975695
52.91,38,4.010044
52.91,38,4.05501
52.91,38,4.110239
52.91,38,4.149987
52.91,38,4.197424
52.91,38,4.561558
52.91,38,4.611779
52.91,38,4.656589
52.91,38,4.704089
52.91,38,4.735721
52.91,38,4.7832
52.91,38,4.830822
52.91,38,4.862466
