#{"t_start": 1764996494.660002, "env_id": "None"}
r,l,t
-21.9,4800,1.755341
-21.9,4800,3.559871
-21.9,4800,5.380661
52.71,78,5.396346
-21.905128,4800,7.131568
52.71,78,7.147561
-21.9,4800,8.954163
-21.9,4800,10.848262
52.71,78,10.872256
-24.951282,4800,12.66228
52.71,78,12.692411
-21.9,4800,14.446005
-24.925641,4800,16.275239
-21.9,4800,18.091107
52.71,78,18.123078
-24.94359,4800,19.871485
52.71,78,19.989732
52.71,78,20.009984
52.705,79,20.026983
52.71,78,20.055972
52.71,78,20.079473
52.71,78,20.098692
-24.976923,4800,21.942865
-21.9,4800,23.90685
-24.94359,4800,26.035985
-207.8,4800,28.042183
52.71,78,28.078426
-24.994872,4800,29.788689
-490.4,4800,31.609698
52.71,78,31.641601
52.71,78,31.662054
-21.9,4800,33.483686
52.71,78,33.505091
52.71,78,33.526006
52.71,78,33.541887
-21.9,4800,35.359397
-24.989744,4800,37.145147
52.71,78,37.161073
52.71,78,37.195321
-24.974359,4800,38.896629
-24.997436,4800,40.770455
-21.9,4800,42.590821
52.71,78,42.615427
-24.964103,4800,44.432377
-21.9,4800,46.138986
-21.9,4800,47.949955
52.71,78,47.983332
-397.9,4800,49.787364
-24.971795,4800,51.493257
-21.9,4800,53.287543
52.71,78,53.31157
-21.9,4800,55.110385
-24.935897,4800,56.818353
-262.4,4800,58.613007
52.71,78,58.626044
-119.6,4800,60.428791
-64.376923,4800,62.240052
-24.982051,4800,64.002305
-21.925641,4800,65.834226
-22.038462,4800,67.675654
-22.028205,4800,69.39884
-21.971795,4800,71.224617
-21.925641,4800,73.083436
-21.9,4800,74.880526
-21.9,4800,76.755411
-21.9,4800,78.586328
-21.9,4800,80.465379
-24.989744,4800,82.486057
-21.9,4800,84.557313
-24.958974,4800,86.380384
-21.9,4800,88.146202
-21.9,4800,89.96727
-21.9,4800,91.803521
-24.930769,4800,93.510098
-21.9,4800,95.317957
-21.9,4800,97.130172
-24.910256,4800,98.850074
-21.9,4800,100.703427
-21.9,4800,102.524801
-21.9,4800,104.216404
-21.9,4800,106.058272
-24.920513,4800,107.838989
-21.9,4800,109.621953
-24.941026,4800,111.348821
-21.9,4800,113.146713
