#{"t_start": 1764996381.259974, "env_id": "None"}
r,l,t
-25.005128,4800,1.776641
-25.0,4800,3.580405
-24.997436,4800,5.365909
-21.910256,4800,7.165937
-21.9,4800,9.077186
-21.9,4800,10.944031
-21.9,4800,12.655651
-21.9,4800,14.457658
-21.9,4800,16.321008
-21.9,4800,18.031258
-21.9,4800,19.843027
-21.9,4800,21.648629
-21.9,4800,23.376639
-24.971795,4800,25.160835
-21.9,4800,26.989924
-24.953846,4800,28.697157
-21.9,4800,30.498182
-21.9,4800,32.318653
-21.9,4800,34.172729
-21.9,4800,35.879941
-21.9,4800,37.673846
-21.9,4800,39.468675
-21.9,4800,41.177684
-24.915385,4800,42.952289
-21.9,4800,44.734381
-21.9,4800,46.438923
-21.9,4800,48.222718
-21.9,4800,50.051251
-21.9,4800,51.772748
-21.9,4800,53.55443
-21.9,4800,55.411761
-21.9,4800,57.469141
-21.9,4800,59.442008
-21.9,4800,61.253107
-21.9,4800,63.092743
-21.9,4800,64.82407
-21.9,4800,66.63967
-21.9,4800,68.468808
-21.9,4800,70.215969
-21.9,4800,72.046708
-21.9,4800,73.884126
-21.9,4800,75.624366
-21.9,4800,77.483927
-21.9,4800,79.313468
-21.9,4800,81.063009
-21.9,4800,82.871567
-21.9,4800,84.673531
-24.966667,4800,86.456055
-21.9,4800,88.291246
-21.9,4800,90.076904
-21.9,4800,92.083992
-21.9,4800,93.820359
-21.9,4800,95.772156
-21.9,4800,97.94281
-21.9,4800,99.864353
-21.9,4800,101.780458
-21.9,4800,103.592608
-21.9,4800,105.312163
-21.9,4800,107.111528
-21.9,4800,108.899332
-61.6,4800,110.616686
-21.9,4800,112.435564
