#{"t_start": 1764997180.4985301, "env_id": "None"}
r,l,t
-24.982051,4800,1.808601
-24.974359,4800,3.669527
-24.974359,4800,5.541908
-24.989744,4800,7.266699
-24.994872,4800,9.07342
-24.976923,4800,10.951472
-24.984615,4800,12.685087
-24.925641,4800,14.541891
-24.979487,4800,16.44819
-24.997436,4800,18.296491
-24.971795,4800,20.106111
-24.95641,4800,22.273661
-24.997436,4800,23.988377
-24.971795,4800,25.847765
-24.994872,4800,27.667554
-24.989744,4800,29.369644
-24.992308,4800,31.199994
-25.0,4800,32.978892
-24.982051,4800,34.776789
-24.976923,4800,36.526535
-24.992308,4800,38.842025
-24.987179,4800,40.956372
-24.971795,4800,42.652182
-24.992308,4800,44.450218
-24.992308,4800,46.276699
-25.0,4800,47.979483
-24.979487,4800,49.816066
-24.987179,4800,51.646206
-24.987179,4800,53.427893
-21.905128,4800,55.324153
-24.969231,4800,57.105893
-24.969231,4800,58.83955
-24.946154,4800,60.637373
-24.994872,4800,62.417249
-24.979487,4800,64.199774
-25.0,4800,65.900463
-24.982051,4800,67.715333
-24.971795,4800,69.509861
-25.0,4800,71.220811
-24.992308,4800,73.010371
-24.992308,4800,74.792406
-24.989744,4800,76.492708
-24.992308,4800,78.276119
-24.982051,4800,80.058859
-24.974359,4800,81.752203
-24.964103,4800,83.514586
-24.946154,4800,85.291834
-24.966667,4800,87.002049
-24.987179,4800,88.771478
-21.9,4800,90.5421
-21.9,4800,92.305353
-21.9,4800,93.967066
-21.9,4800,95.74692
-24.992308,4800,97.76056
-24.971795,4800,99.682605
-24.989744,4800,101.749893
-21.9,4800,103.583818
-24.938462,4800,105.302056
-25.0,4800,107.11197
-24.95641,4800,108.969362
-24.933333,4800,110.746007
-24.94359,4800,112.575669
