#{"t_start": 1764687834.7812252, "env_id": "None"}
r,l,t
52.605,99,46.950036
52.605,99,47.068815
52.61,98,47.182563
52.6,100,47.643101
52.6,100,47.769629
52.61,98,47.864404
52.6,100,47.959216
52.61,98,48.054075
52.6,100,48.16978
52.595,101,48.264128
52.59,102,48.449776
52.595,101,48.585878
52.61,98,48.689683
52.605,99,49.005738
52.6,100,49.051998
52.605,99,49.099484
52.61,98,49.147261
52.59,102,49.202267
52.595,101,49.250509
52.61,98,49.287498
52.595,101,49.330007
52.605,99,49.393134
52.6,100,49.519781
52.61,98,49.948881
52.605,99,50.059735
52.61,98,50.181739
52.61,98,50.25092
52.605,99,50.361801
52.61,98,50.471936
52.61,98,50.614648
52.61,98,50.693851
52.61,98,50.790818
52.61,98,50.884777
52.6,100,50.991008
52.61,98,51.297757
52.61,98,51.329954
52.605,99,51.393853
52.61,98,51.569093
52.61,98,51.664074
52.61,98,51.807636
52.61,98,51.935456
52.61,98,52.06243
52.61,98,52.179508
52.605,99,52.284921
52.61,98,52.712946
52.61,98,52.795756
52.61,98,52.871191
52.61,98,52.966499
52.605,99,53.06232
52.61,98,53.158425
52.605,99,53.317573
52.61,98,53.477314
52.605,99,53.644629
52.61,98,53.798542
52.61,98,54.303585
52.61,98,54.450442
52.61,98,54.573131
52.61,98,54.682878
52.61,98,54.809636
52.61,98,54.905209
52.61,98,54.984194
52.61,98,55.079757
52.61,98,55.1749
52.61,98,55.285641
52.6,100,55.380636
52.61,98,55.825496
52.61,98,55.93609
52.61,98,56.046827
52.61,98,56.157487
52.61,98,56.236894
52.61,98,56.332383
52.61,98,56.4284
52.61,98,56.52339
52.61,98,56.634816
52.61,98,56.730573
52.61,98,57.126713
52.61,98,57.221855
52.61,98,57.332688
52.605,99,57.427788
52.61,98,57.522527
52.61,98,57.617864
52.61,98,57.735941
52.61,98,57.824016
52.605,99,57.949992
52.61,98,58.09163
52.61,98,58.202979
52.61,98,58.5679
52.61,98,58.679682
52.61,98,58.774949
52.61,98,58.870264
52.61,98,58.980959
52.61,98,59.111335
52.61,98,59.204068
52.61,98,59.299224
52.61,98,59.394418
52.61,98,59.505494
52.61,98,60.01359
52.61,98,60.121766
52.61,98,60.214217
52.61,98,60.29694
52.61,98,60.39241
52.61,98,60.50346
52.61,98,60.582475
52.61,98,60.67769
52.61,98,60.788722
52.605,99,60.900232
52.61,98,60.994766
52.61,98,61.279536
52.605,99,61.316362
52.61,98,61.359679
52.61,98,61.407167
52.605,99,61.438858
52.605,99,61.486334
52.61,98,61.533111
52.61,98,61.564842
52.61,98,61.617496
52.61,98,61.643972
52.61,98,61.961741
52.61,98,62.10534
52.605,99,62.200572
52.61,98,62.311733
52.61,98,62.423033
52.61,98,62.565984
52.605,99,62.724867
52.61,98,62.884462
52.61,98,63.02183
52.61,98,63.140031
52.61,98,63.283881
52.61,98,63.696029
52.61,98,63.80659
52.61,98,63.94989
52.61,98,64.108272
52.61,98,64.235552
52.61,98,64.34649
52.61,98,64.457921
52.61,98,64.626762
52.6,100,64.77557
52.61,98,64.935299
52.61,98,65.364468
52.61,98,65.475461
52.605,99,65.570262
52.61,98,65.680849
52.61,98,65.775886
52.61,98,65.870948
52.61,98,65.982376
52.605,99,66.093863
52.61,98,66.205288
52.61,98,66.316263
52.61,98,66.711655
52.61,98,66.822312
52.61,98,67.013594
52.61,98,67.108966
52.61,98,67.220083
52.61,98,67.315583
52.61,98,67.41093
52.6,100,67.522454
52.61,98,67.617249
52.605,99,67.712049
52.61,98,67.822712
52.61,98,68.25291
52.61,98,68.348517
52.61,98,68.460625
52.61,98,68.555488
52.605,99,68.650447
52.61,98,68.729492
52.61,98,68.776613
52.61,98,68.855335
52.61,98,68.950343
52.61,98,69.061555
52.61,98,69.488248
52.61,98,69.647713
52.61,98,69.807856
52.61,98,69.887552
52.605,99,69.942307
52.61,98,69.983003
52.61,98,70.04253
52.61,98,70.142456
52.61,98,70.269473
52.61,98,70.349481
