#{"t_start": 1764690713.5919616, "env_id": "None"}
r,l,t
43.11,1998,2.884799
43.11,1998,4.241282
43.11,1998,5.596081
43.11,1998,6.974989
43.11,1998,8.282714
43.11,1998,9.611323
43.11,1998,10.924545
43.11,1998,12.246449
43.11,1998,13.585461
43.11,1998,14.927461
43.11,1998,16.262673
43.11,1998,17.617241
43.11,1998,18.946678
43.105,1999,20.249642
43.11,1998,21.56237
43.11,1998,22.898145
43.11,1998,24.231765
43.11,1998,25.605897
43.11,1998,26.975888
43.11,1998,28.314133
43.095,2001,29.555387
43.105,1999,30.910917
43.11,1998,32.226083
43.1,2000,33.496855
43.085,2003,34.850986
43.09,2002,36.20871
42.99,2022,37.574245
43.075,2005,38.94541
43.045,2011,40.282485
42.97,2026,41.653137
43.055,2009,43.005678
42.905,2039,44.375284
42.525,2115,45.761245
42.495,2121,47.147949
42.785,2063,48.519815
42.34,2152,49.923854
42.045,2211,51.375408
42.23,2174,52.922136
40.005,2619,54.582531
40.67,2486,56.303993
42.3,2160,57.722359
42.48,2124,59.108043
42.525,2115,60.47513
42.095,2201,61.906489
42.485,2123,63.309419
42.685,2083,64.671981
42.465,2127,65.987808
42.61,2098,67.310574
42.365,2147,68.742871
42.43,2134,70.094948
42.51,2118,71.51097
42.635,2093,73.023565
42.83,2054,74.359789
42.835,2053,75.712952
43.015,2017,76.925007
42.965,2027,78.283354
43.02,2016,79.624575
43.005,2019,80.895731
42.97,2026,82.067252
43.005,2019,83.322416
43.005,2019,84.664368
43.0,2020,85.967778
42.965,2027,87.335135
43.055,2009,88.641895
43.11,1998,89.880286
43.11,1998,91.085097
43.11,1998,92.272092
43.11,1998,93.475171
43.11,1998,94.661349
43.11,1998,95.881914
43.1,2000,97.2205
43.11,1998,98.538383
43.11,1998,99.738987
43.11,1998,100.972189
43.11,1998,102.228516
43.11,1998,103.47739
43.11,1998,104.806826
43.1,2000,106.123417
43.11,1998,107.475087
43.11,1998,108.551716
43.11,1998,109.920373
43.11,1998,111.242004
43.11,1998,112.597152
43.11,1998,113.949542
43.105,1999,115.283543
43.105,1999,116.59917
43.11,1998,117.866021
43.105,1999,119.145741
43.11,1998,120.42852
43.11,1998,121.726762
43.11,1998,123.112666
43.1,2000,124.498408
43.11,1998,125.884011
43.11,1998,127.284554
43.11,1998,128.619328
43.11,1998,129.988519
43.11,1998,131.277147
43.11,1998,132.56938
43.11,1998,133.828349
43.11,1998,135.159227
43.11,1998,136.341547
43.11,1998,137.678038
43.11,1998,139.042546
14.265,7767,144.124072
43.1,2000,145.376125
43.11,1998,146.661653
43.11,1998,147.932158
7.875,9045,154.104223
43.11,1998,155.416429
43.1,2000,156.677855
43.11,1998,157.880617
43.11,1998,159.148522
43.11,1998,160.490042
43.1,2000,161.831875
43.1,2000,163.195983
43.085,2003,164.576001
43.08,2004,165.923868
43.07,2006,167.274358
42.97,2026,168.542927
42.715,2077,169.831049
42.76,2068,171.119251
42.805,2059,172.431854
43.015,2017,173.705199
43.025,2015,175.046043
42.56,2108,176.439709
42.045,2211,177.910981
