#{"t_start": 1764689935.0322652, "env_id": "None"}
r,l,t
51.11,398,1.878366
51.11,398,2.07023
51.11,398,2.403329
51.11,398,2.628097
51.105,399,2.833802
51.11,398,3.169094
51.11,398,3.359185
51.11,398,3.711746
51.11,398,3.887556
51.11,398,4.079335
51.11,398,4.429953
51.11,398,4.622298
51.11,398,4.961141
51.11,398,5.16882
51.11,398,5.354759
51.11,398,5.704121
51.11,398,5.880491
51.11,398,6.098168
51.11,398,6.422436
51.11,398,6.615432
51.11,398,6.968102
51.11,398,7.143148
51.11,398,7.332944
51.11,398,7.666605
51.11,398,7.857965
51.11,398,8.191999
51.11,398,8.384337
51.11,398,8.566706
51.11,398,8.941409
51.11,398,9.132568
51.11,398,9.469422
51.11,398,9.659284
51.11,398,9.835938
51.105,399,10.186714
51.105,399,10.378276
51.11,398,10.570908
51.11,398,10.903834
51.11,398,11.096448
51.11,398,11.448925
51.11,398,11.636519
51.11,398,11.858283
51.11,398,12.342626
51.11,398,12.527005
51.11,398,12.873283
51.11,398,13.051655
51.11,398,13.243947
51.11,398,13.594506
51.11,398,13.776447
51.11,398,14.121895
51.11,398,14.298065
51.105,399,14.500691
51.11,398,14.854441
51.11,398,15.061403
51.11,398,15.238377
51.11,398,15.585833
51.11,398,15.791961
51.11,398,16.1429
51.11,398,16.319609
51.11,398,16.510671
51.11,398,16.860766
51.11,398,17.067021
51.11,398,17.416593
51.11,398,17.61478
51.11,398,17.80002
51.105,399,18.15053
51.11,398,18.357959
51.11,398,18.692925
51.11,398,18.882083
51.11,398,19.060993
51.11,398,19.412429
51.11,398,19.605461
51.11,398,19.812927
51.11,398,20.164623
51.11,398,20.356331
51.11,398,20.707338
51.11,398,20.89768
51.11,398,21.090636
51.11,398,21.455167
51.105,399,21.649711
51.11,398,21.996939
51.11,398,22.188875
51.11,398,22.387811
51.11,398,22.749032
51.11,398,22.951353
51.11,398,23.305535
51.11,398,23.496954
51.11,398,23.690112
51.11,398,24.055511
51.11,398,24.247684
51.11,398,24.440638
50.675,485,24.837614
50.73,474,25.064526
50.56,508,25.459613
50.895,441,25.681633
50.505,519,26.120137
50.585,503,26.371154
50.635,493,26.75397
50.465,527,27.010908
50.685,483,27.408514
50.655,489,27.632853
50.39,542,28.063079
50.595,501,28.301622
50.725,475,28.700286
