#{"t_start": 1764689551.3083305, "env_id": "None"}
r,l,t
51.61,298,0.673766
51.61,298,0.836195
51.61,298,0.994411
51.61,298,1.271995
51.61,298,1.42898
51.61,298,1.591647
51.61,298,1.878881
51.61,298,2.040758
51.61,298,2.203796
51.61,298,2.362002
51.61,298,2.669594
51.605,299,2.829855
51.61,298,2.999229
51.61,298,3.286375
51.61,298,3.45162
51.61,298,3.602545
51.6,300,3.737679
51.61,298,4.006771
51.61,298,4.151443
51.61,298,4.279841
51.61,298,4.55002
51.61,298,4.698983
51.61,298,4.839931
51.61,298,4.967434
51.61,298,5.272236
51.61,298,5.415082
51.61,298,5.561575
51.61,298,5.843329
51.61,298,5.986897
51.61,298,6.130545
51.61,298,6.415283
51.61,298,6.559183
51.61,298,6.711058
51.61,298,6.844648
51.61,298,7.114918
51.61,298,7.257741
51.61,298,7.386635
51.61,298,7.671711
51.61,298,7.810741
51.61,298,7.946255
51.61,298,8.088151
51.61,298,8.374283
51.61,298,8.510911
51.61,298,8.645669
51.61,298,8.934199
51.61,298,9.075069
51.61,298,9.219798
51.61,298,9.367342
51.61,298,9.648374
51.61,298,9.803324
51.61,298,9.950556
51.61,298,10.236201
51.61,298,10.402998
51.61,298,10.553077
51.61,298,10.838262
51.61,298,11.028686
51.61,298,11.183881
51.61,298,11.33029
51.61,298,11.638409
51.61,298,11.806991
51.61,298,11.963812
51.61,298,12.256852
51.61,298,12.405038
51.61,298,12.573607
51.61,298,12.707847
51.61,298,13.008602
51.61,298,13.15049
51.61,298,13.309289
51.61,298,13.609851
51.61,298,13.768365
51.61,298,13.910603
51.61,298,14.052794
51.61,298,14.352933
51.61,298,14.494967
51.61,298,14.621584
51.61,298,14.92125
51.61,298,15.063319
51.61,298,15.190138
51.61,298,15.348102
51.605,299,15.633637
51.61,298,15.776019
51.61,298,15.902363
51.61,298,16.20288
51.61,298,16.329233
51.61,298,16.471777
51.61,298,16.772626
51.605,299,16.914703
51.61,298,17.057468
51.61,298,17.19944
51.61,298,17.500673
51.61,298,17.647066
51.61,298,17.784645
51.61,298,18.086642
51.61,298,18.229509
51.61,298,18.355993
51.61,298,18.514106
51.61,298,18.800427
51.61,298,18.949857
51.61,298,19.084952
51.61,298,19.369957
51.61,298,19.512112
51.61,298,19.650668
51.61,298,19.780973
51.485,323,20.081648
51.47,326,20.240123
51.445,331,20.398209
51.445,331,20.715792
51.525,315,20.874422
51.475,325,21.052811
51.43,334,21.380355
51.505,319,21.570081
51.5,320,21.759544
51.455,329,22.060401
51.445,331,22.234032
51.495,321,22.407086
51.42,336,22.723943
51.355,349,22.930253
51.365,347,23.104277
51.43,334,23.42068
51.52,316,23.577869
51.505,319,23.751249
51.445,331,24.058846
51.505,319,24.225963
51.375,345,24.400014
51.385,343,24.716559
51.335,353,24.906309
51.375,345,25.080138
51.405,339,25.396728
51.41,338,25.57106
51.45,330,25.745493
51.43,334,26.062382
51.515,317,26.236649
51.43,334,26.409825
51.42,336,26.726813
51.33,354,26.917281
51.48,324,27.058773
51.365,347,27.364922
51.44,332,27.518319
51.47,326,27.675921
51.415,337,27.818015
51.445,331,28.117616
51.37,346,28.291392
51.39,342,28.46437
51.415,337,28.780115
51.445,331,28.93804
51.465,327,29.095978
51.505,319,29.385104
51.395,341,29.536682
51.4,340,29.695029
51.435,333,29.979426
51.46,328,30.142484
51.52,316,30.295194
51.53,314,30.579228
51.53,314,30.721555
51.515,317,30.883039
51.555,309,31.1712
51.465,327,31.325829
51.525,315,31.471479
51.54,312,31.768849
51.48,324,31.926805
51.44,332,32.084737
51.395,341,32.372786
51.485,323,32.541353
51.47,326,32.683595
51.46,328,32.841734
51.48,324,33.143187
51.515,317,33.301111
51.555,309,33.458857
51.465,327,33.760191
51.505,319,33.934205
51.495,321,34.108358
51.55,310,34.39298
51.525,315,34.566618
51.545,311,34.708775
51.52,316,35.007997
51.57,306,35.17865
51.55,310,35.340119
51.585,303,35.498256
51.5,320,35.814928
51.575,305,35.972679
51.505,319,36.114984
51.565,307,36.415774
51.535,313,36.558535
51.56,308,36.715842
51.57,306,37.001372
51.535,313,37.159605
51.565,307,37.318217
51.545,311,37.508578
51.56,308,37.793725
51.595,301,37.967978
51.585,303,38.126299
51.605,299,38.428868
51.595,301,38.603889
51.6,300,38.762424
51.605,299,39.06284
51.605,299,39.220606
51.61,298,39.410536
51.61,298,39.584846
51.605,299,39.854219
51.61,298,39.99613
51.61,298,40.153899
51.61,298,40.439465
51.6,300,40.581826
51.605,299,40.708198
51.61,298,40.849778
51.61,298,41.134099
51.61,298,41.27635
51.61,298,41.418728
51.61,298,41.687711
51.61,298,41.828738
51.605,299,41.97331
51.6,300,42.256884
51.61,298,42.399303
51.605,299,42.541688
51.6,300,42.699938
51.61,298,42.952945
51.61,298,43.095072
51.61,298,43.237531
51.61,298,43.524162
51.605,299,43.682657
51.605,299,43.824918
51.61,298,43.982855
51.61,298,44.268118
51.605,299,44.410446
51.605,299,44.552656
51.61,298,44.853456
51.61,298,44.996023
51.61,298,45.140687
51.605,299,45.280693
51.6,300,45.581246
51.605,299,45.7234
51.61,298,45.865627
51.61,298,46.150626
51.605,299,46.295967
51.61,298,46.435126
51.61,298,46.736226
51.605,299,46.878804
51.595,301,47.053125
51.6,300,47.211673
51.595,301,47.544811
51.61,298,47.703035
51.605,299,47.867268
51.61,298,48.162933
